"lat" "lng"
"1" 32.471081 -99.707941
"2" 40.7220719 -73.6506244
"3" 41.8985832 -84.0591739
"4" 33.7674176 -84.2943655
"5" 61.1910518 -149.8027203
"6" 43.6535967 -116.6768734
"7" 41.3332978 -72.9231712
"8" 42.243925 -84.7444555
"9" 40.3615394 -75.9105055
"10" 39.1572829 -80.0492902
"11" 42.253424 -77.787959
"12" 41.649349 -80.1449494
"13" 40.5372873 -75.3787597
"14" 43.379011 -84.6699398
"15" 42.982906 -87.9645037
"16" 42.112853 -72.557144
"17" 42.3709104 -72.5170028
"18" 40.1114829 -85.6651536
"19" 41.9642053 -86.3593038
"20" 31.4342108 -100.4554224
"21" 33.9885587 -118.3847952
"22" 36.2107892 -81.6773538
"23" 42.9601469 -85.6287556
"24" 33.4242399 -111.9280527
"25" 35.7788314 -91.6261607
"26" 35.2950751 -93.1386571
"27" 42.2907398 -71.829026
"28" 32.5933574 -85.4951663
"29" 44.9663695 -93.241518
"30" 41.5051053 -90.5507098
"31" 41.5051053 -90.5507098
"32" 33.64626 -96.594854
"33" 36.5783583 -79.4114136
"34" 38.777439 -95.188819
"35" 41.3735087 -81.848391
"36" 42.2506217 -87.8373853
"37" 42.0204065 -73.9100986
"38" 40.8091005 -73.9639386
"39" 25.879072 -80.196161
"40" 31.5506704 -97.1082062
"41" 40.0918713 -75.1654825
"42" 38.219141 -85.70486
"43" 35.2595756 -81.0409625
"44" 36.130441 -86.795017
"45" 42.5030334 -89.030906
"46" 47.486735 -94.875788
"47" 39.5714509 -95.1122424
"48" 42.92389 -73.241558
"49" 42.3856989 -71.22168
"50" 34.2954044 -85.188497
"51" 40.2059842 -80.5598259
"52" 38.0747608 -97.3425835
"53" 38.0747608 -97.3425835
"54" 29.2102556 -81.0306086
"55" 33.51392 -86.854721
"56" 39.2886265 -89.8733533
"57" 41.0077751 -76.4478707
"58" 37.2448933 -81.2470647
"59" 40.8965316 -83.8989438
"60" 42.3504997 -71.1053991
"61" 43.9067324 -69.9637933
"62" 41.3797788 -83.6300826
"63" 40.0235827 -82.9119215
"64" 40.6981432 -89.6160181
"65" 42.3689744 -71.2559568
"66" 34.302811 -83.822032
"67" 32.184874 -82.583713
"68" 42.5270102 -96.4270388
"69" 38.3789235 -78.9670039
"70" 40.2518435 -111.6493156
"71" 41.8267718 -71.4025482
"72" 40.0266576 -75.3143902
"73" 40.9551414 -76.8849629
"74" 42.6407222 -95.21007
"75" 39.8396005 -86.1697197
"76" 40.055389 -75.374499
"77" 40.8343983 -74.272567
"78" 34.2255289 -118.8789111
"79" 35.3050053 -120.6624942
"80" 36.8117049 -119.7496487
"81" 42.9306576 -85.5879416
"82" 35.408161 -78.73976
"83" 37.3429502 -85.349153
"84" 42.9248338 -78.8514848
"85" 39.9552588 -82.9373833
"86" 39.0462591 -76.8511952
"87" 44.461333 -93.1556063
"88" 40.4424925 -79.9425528
"89" 46.6008648 -112.0391321
"90" 36.122362 -83.490358
"91" 42.6235188 -87.8199047
"92" 41.5043413 -81.6083838
"93" 43.609231 -73.177708
"94" 35.6914474 -80.4827786
"95" 38.9368811 -76.998692
"96" 42.9325002 -75.8549308
"97" 40.5859377 -75.5196631
"98" 39.7506658 -83.8105319
"99" 40.8462734 -74.8346863
"100" 32.4830228 -93.7334805
"101" 42.3613504 -83.0628312
"102" 41.4046513 -92.9275856
"103" 41.6906682 -72.7665496
"104" 38.7580227 -93.739526
"105" 47.0039381 -120.5399544
"106" 34.72798 -82.7623707
"107" 37.6457214 -84.782037
"108" 33.7924581 -117.8512582
"109" 40.4475765 -79.9234461
"110" 40.0862493 -75.2282159
"111" 38.949664 -78.146138
"112" 35.127385 -89.982519
"113" 37.0638735 -76.4938087
"114" 33.4989574 -80.8542463
"115" 34.1016553 -117.7075909
"116" 42.2508217 -71.8222958
"117" 45.6365562 -122.6507622
"118" 44.6627128 -74.999495
"119" 34.6786106 -82.8371741
"120" 36.971723 -82.5578081
"121" 41.9886884 -91.659159
"122" 34.3772032 -80.0699063
"123" 44.5641168 -69.6633213
"124" 42.822465 -75.541671
"125" 41.3450748 -75.971354
"126" 32.7837082 -79.9381577
"127" 39.095713 -84.637835
"128" 40.9126496 -73.9073232
"129" 39.3514341 -76.6212684
"130" 39.3514341 -76.6212684
"131" 45.5798263 -94.3937748
"132" 44.9246182 -93.1821589
"133" 40.7806132 -74.4393729
"134" 42.6643488 -73.7855519
"135" 35.6564937 -105.9773322
"136" 43.598154 -73.0006774
"137" 46.818137 -92.1008687
"138" 42.2378888 -71.8052464
"139" 37.2723284 -76.7169032
"140" 40.8110565 -81.9335997
"141" 38.8484298 -104.8228753
"142" 40.573436 -105.0865473
"143" 38.9584081 -92.3257279
"144" 38.9584081 -92.3257279
"145" 40.8075355 -73.9625727
"146" 44.9505598 -93.1561141
"147" -27.572723 151.929537
"148" 30.420143 -97.8395755
"149" 33.6541189 -117.8105538
"150" 41.3786877 -72.1045869
"151" 34.9561776 -81.9186956
"152" 41.9269546 -91.4253502
"153" 41.2650114 -95.9477073
"154" 40.1290996 -91.5335407
"155" 36.7363908 -84.1622998
"156" 42.9036493 -78.8914569
"157" 41.5500338 -96.1566754
"158" 42.7772767 -71.5140162
"159" 43.7044406 -72.2886934
"160" 35.504705 -80.837287
"161" 41.299244 -84.3528904
"162" 33.7453784 -90.7354508
"163" 40.0740253 -82.5226425
"164" 39.640397 -86.861622
"165" 40.2027138 -77.1972668
"166" 46.8823226 -102.7995721
"167" 29.9948363 -90.0652007
"168" 40.6229514 -96.9503546
"169" 41.0476201 -73.95031
"170" 43.0804511 -96.1619784
"171" 40.7420922 -73.1478271
"172" 41.6012863 -93.6580638
"173" 40.7611058 -74.4281995
"174" 37.2183595 -93.2848048
"175" 36.0014258 -78.9382286
"176" 39.823941 -84.913241
"177" 35.6065739 -77.3666773
"178" 36.3025374 -82.3701933
"179" 32.5574273 -94.3747227
"180" 40.0506771 -75.3715124
"181" 41.720017 -72.215698
"182" 39.4799641 -88.1753643
"183" 38.4719168 -78.8793097
"184" 42.2713976 -71.0107748
"185" 27.7138215 -82.6875418
"186" 40.150612 -76.59447
"187" 42.0967817 -76.8153705
"188" 42.1416694 -72.6005529
"189" 36.1048739 -79.5043469
"190" 34.6524103 -99.298944
"191" 33.7925195 -84.3239989
"192" 33.7925195 -84.3239989
"193" 38.4138215 -96.1800783
"194" 34.3308738 -82.3892275
"195" 40.71398 -89.267575
"196" 47.0718574 -122.9766427
"197" 41.1598413 -73.2566279
"198" 35.076475 -78.891717
"199" 36.9271611 -80.0225824
"200" 29.8927447 -81.314899
"201" 28.0646385 -80.6231696
"202" 25.7571955 -80.3758328
"203" 28.0317597 -81.9459801
"204" 30.4418778 -84.2984889
"205" 38.6423584 -90.3157373
"206" 40.8620404 -73.8856987
"207" 37.2753391 -107.8684108
"208" 34.189613 -79.653017
"209" 40.376159 -80.621294
"210" 39.478646 -86.045479
"211" 42.778973 -72.0555381
"212" 35.439035 -88.637402
"213" 36.7262997 -119.7357524
"214" 34.9245893 -82.4391367
"215" 42.1281234 -80.0865857
"216" 35.250034 -81.66747
"217" 40.7715964 -80.323277
"218" 45.302754 -122.970532
"219" 38.8299323 -77.3073859
"220" 38.8997145 -77.0485992
"221" 38.2070067 -84.5543228
"222" 38.9076089 -77.0722585
"223" 33.7756178 -84.396285
"224" 33.753068 -84.3852819
"225" 40.0983785 -74.2215182
"226" 39.8358603 -77.2377491
"227" 39.7414824 -75.6893376
"228" 47.6681035 -117.4025037
"229" 42.590783 -70.823741
"230" 41.564367 -85.828317
"231" 39.408765 -76.596545
"232" 41.2258444 -85.8158934
"233" 40.616346 -93.925638
"234" 42.9638816 -85.8883237
"235" 43.5167448 -73.2442058
